"Number ;Variety;source;Context ;Focus;Position;Relative_Position;be&also;R_S_P;"
"118;GBE;romagazine.eu;# Emran Elmazi is very active as volunteer in a nonprofit organization, he is also the chairman of Terno Drom. Terno Drom is the regional organization of Amaro Drom;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"12;GBE;ehow.co.uk;is a fun hobby that you can use to entertain your friends. It is also an interesting method of presenting an otherwise purely functional item. You can create various;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"120;GBE;itopf.com;and carry an attendant risk of stress or mortality to the stock. There may also be legal restrictions on the movement of cultured marine organisms. Early Harvest #;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"121;GBE;theregister.co.uk;""organisations; potentially big headache for larger ones. # Mac OS X Mountain Lion also contains a bug regarding profile naming. If the user trevorpott.local has been accessing the"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"122;GBE;ovum.com;could then all be weighted to arrive at a final decision. # Organizations may also prefer a tighter integration between the analytical and operational components. For example, retailers;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"123;GBE;raf.mod.uk;at Royal Air Force Scampton in Lincolnshire since 2001. In the past they have also been based at Royal Air Force Fairford, Royal Air Force Kemble in Gloucestershire,;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"126;GBE;...tainman.blogspot.com;valley of the eastern Cleddau river. Herbert Thomas, Richard Atkinson and others were also greatly taken by the idea that the spectacular -- and even awesome -- skyline profile;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"128;GBE;independent.co.uk;""bipartisan, consensual """" basis over a period as long as 20 years. He also said a national referendum would have to be held to approve the document if it"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"13;GBE;ucl.ac.uk;man, existing as one single thing, suffered, the method of curing would also be one single thing. But the method of curing is not one single thing;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"130;GBE;localhistories.org;convert to Christianity or leave Spain. Many chose to leave. # 1492 was also a significant year because Ferdinand and Isabel decided to finance an expedition by Christopher Columbus;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"131;GBE;davidicke.com;to infected areas of the body and the body kills itself. # It is also the case that the World Health Organisation has asked for live swine flu virus to;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"133;GBE;...vativehome.blogs.com;as well as the fact that we're all going to die, it is also the case that we will all become terminally ill at the end of our lives;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"134;GBE;zonalmarking.net;""' Wembley Wizards', Total Footall Holland, Brazil 1982 etc. # I also dispute this -- """" Possession football, where team like Barca pass the ball around"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"135;GBE;dailymail.co.uk;John Nash, portrayed by Russell Crowe in the film A Beautiful Mind, has also had a life-long struggle with schizophrenia. Previous research has hinted that much of the;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"136;GBE;...logs.telegraph.co.uk;The death of a tyrant may be a matter for rejoicing, but it may also be the stuff of tragedy or at least pathos. When Macduff enters carrying Macbeth;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"137;GBE;theecologist.org;along with European brown bears and a wealth of bird life. High Tatras is also home to Slovakia's highest mountain, Gerlachovsky stt, whose gaunt, snow-capped peak;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"14;GBE;...ory.mcs.st-and.ac.uk;with suspicion in both Russia and Western Europe. Her doubtful marital status whilst Vladimir also served to fuel rumours about her respectability. It was only after his death that;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"142;GBE;ft.com;benchmark qualification. # The right technical skills are one thing, but the regulator also expects improved integrity and values which it intends to test. With the moral compass;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"145;GBE;adventistinfo.org.uk;more than 32,000 Christians who have made this church their spiritual home. You will also find resources from various church departments, the locations of all our churches and companies;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"146;GBE;...figurefullerbust.com;""are not good enough, and you never will be. """" # There's also a particular culture with women though I think where it's seen as incredibly socially"";OC;Pre-adjacent;Adjacent;be_also;After_P;"
"147;GBE;eurodressage.com;""will do a good job, and considering the line up for 2012, will also enjoy the cameraderie along the way. # """" The judges' panel for London"";Auxillary ;Post-adjacent;Adjacent;;After_P;"
"149;GBE;chortle.co.uk;to a weekend of football and remembrance for the people of Liverpool. # I also hope that Alan's scheduled Liverpool Empire show in September can still go ahead so;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"150;GBE;rootschat.com;besides Dixie Dean b.18/5/1934, death reg'd May 2005 New Forest, there is also Ernest William F. Dean with the exact same details so looks as if that was;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"153;GBE;guardian.co.uk;meetings with wealthy businessmen, the newspaper added. In new video footage, Cruddas also boasts that he had secured a donation of 1m only a fortnight before his resignation;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"154;GBE;...icreviewsjournal.com;definition specifically excludes the converse of motivating rewards - penalties. While non-financial rewards may also increase health promoting behaviors, it is highly likely that in advanced societies, interventions;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"155;GBE;en.mercopress.com;is common. But Correa has been criticized for attacks on press freedoms and he also faces strong opposition from the private sector and some indigenous groups who are against large-scale;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"156;GBE;eureporter.co;""well as and discussions about European health workforce planning. # """" The dementia challenge also poses the question of how best to achieve true multidisciplinary care. We know of"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"157;GBE;...mepages.inf.ed.ac.uk;larger and the features become smaller in the corresponding images. Therefore, it is also possible to adjust the focal lengths to help obtain the necessary depth-of-field. # The;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"158;GBE;sfakia-crete.com;the numerous corridors and rooms, from where no-one could come out. He is also said to have constructed the wooden cow in which Pasiphae, Minos' wife,;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"159;GBE;puretravel.com;, the carefully preserved Temple of Hephaestus and the fascinating Benaki Museum. You can also take tours of the Mediterranean coast in Athens as well as a helicopter ride showing;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"16;GBE;stressymummy.com;"". # CHOSEN BY MUMS; TESTED BY KIDS; GUARANTEED BY GEORGE # ASDA also sent us a Little Backpack Customisation kit, which consisted of a white backpack and"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"161;GBE;theplayethic.com;to motivate teachers and pupils in the future environment of education. # I have also been sought out by some germane commercial constituencies - the advertising industry, the games;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"162;GBE;bbc.co.uk;while the stadium remains shut. Without a big football team the running costs would also be lower. # Of course all this could have been avoided had the Government;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"163;GBE;football-italia.net;and Inter players. I'm so glad the injury-prone Chivu will leave this summer.I also think that Zanetti should play less, a lot less. He should act as;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"164;GBE;guardian.co.uk;to interact with the law banning religious hatred? # A friend of mine has also pointed out that the Act of Settlement (a) bans Catholics from accession to;O_Predicate;Pre-adjacent;Adjacent;;After_P;"
"165;GBE;guardian.co.uk;Hebrew alphabet (Judeo-Arabic, Judeo-Persian, Judeo-Spanish, Yiddish). # This custom also included the periodic solemn gathering of the contents of the geniza, which were then;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"166;GBE;goalpost.tv;Ventura County Fusion (I believe they are from California) and won, Spurs also went on a tour of the USA and drew 1-1 against LA Galaxy and then;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"169;GBE;independent.co.uk;23 per cent in an earlier survey of the class of 1999. The students also left university with debts averaging 16,000. # But despite tough labour market conditions,;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"17;GBE;...ums.digitalspy.co.uk;assume everyone is drunk now - and treat them as such? # She was also 16! She shouldn't have been out in public drunk! But no,;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"171;GBE;guardian.co.uk;saying' No top down reorganisation of the NHS' to know this. We also know that however strong the backlash is against these lies by the people involved in;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"172;GBE;theory.org.uk;to articulate the reasons they perceived to be behind this. The vast majority were also extremely culturally and politically aware and were very interested in my ideas about the Manics;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"173;GBE;spearswms.com;' re-basing' to April 2013 values is currently envisaged. This CGT charge might also apply to non-UK resident trustees (but not nominees). # The appropriate steps;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"175;GBE;emeraldinsight.com;and other efforts that were made to enable the new service format. This can also increase the perceived value of the new service format. # Limitations and future research;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"176;GBE;...alguidetobanking.com;assess the pricing of assets and liabilities for liquidity management and funding purposes. They also monitor the concentration risk of the bank's accounts - in other words ensuring that;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"177;GBE;emeraldinsight.com;very promising research direction. # Nevertheless, new developments of the resource-based view will also require attention to a number of empirical questions as to date there has been relatively;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"178;GBE;...og.hostelbookers.com;basically like an umburella but it full covers you and it is heated. This also melts the ice and snow on the outside so you can see all around you;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"179;GBE;videojug.com;here for three years, got indefinite leave to remain yesterday and yesterday you could also apply to become a British citizen. It's easier if you're married to;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"18;GBE;iwantoneofthose.com;sad am I, but oh boy! It was Awesome. Reckon it'll also be superb at the end of any party when ya just need to chill or;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"180;GBE;solent.ac.uk;bank or building society statement (a bank account in your parents' name is also acceptable provided you also supply your birth certificate and an original signed and dated letter;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"183;GBE;clarets-mad.co.uk;valuables in unoccupied vehicles. # After this recent spate of unsolved crimes the police also confirmed that the Manchester Road area had become the car crime capital of the town;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"185;GBE;...ntators.blogspot.com;""intelligent dog breed. Though known to be reserved with strangers, these dogs can also be protective of a human family member and affectionate to those they know. """""";Auxillary ;Post-adjacent;Adjacent;;After_P;"
"187;GBE;opendemocracy.net;independent media and feminist commentators, reveal the myopia of the press gallery, it also hinted at a more troubling hostility to Gillard's premise. As a journalist friend;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"188;GBE;dailymail.co.uk;stood for the communist anthem, the Internationale. # The party's 2,200-plus delegates also rubber-stamped the report Mr Hu delivered last week committing the party to continuing a pro-economic;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"189;GBE;dailymail.co.uk;while in office, to be charged with a crime. # ' It's also a very unusual case in that the man accused -- and the wife accusing him;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"19;GBE;holidaycheck.com;and so on. A strong praise for so much interest! to emphasize was also the many of the service personnel Deutschgrundkenntnisse have, so you can communicate very easily;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"192;GBE;...ificentsomething.com;set designer drew the set of the travel bookshop based on this one. She also tells me at the actual location was the Kurt Geiger shop two corners down the;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"193;GBE;uk.moo.com;Cards) and MiniCards but not Gloss or Luxe Business Cards. Rush Printing is also available on Greeting Cards and Christmas Cards, but not Postcards, Sticker or Labels;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"194;GBE;guardian.co.uk;the concept of mindfulness, but this form of thinking can only succeed if we also strive to understand why mindfulness and meditation create less stressed and happier people, and;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"195;GBE;...speareandhistory.com;blacksmith) who had usurped their rightful place in the king's favor. Cromwell also made a number of enemies in the conservative faction because of the many reformist policies;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"196;GBE;telegraph.co.uk;a critical hold on the western approach to Kandahar city. # The district is also of historic importance to the Taliban movement, which grew up in Zhari's orchards;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"198;GBE;...structionindex.co.uk;commercial and compensatory justification, and was not merely a liquidated damages clause. It also provided for payments to the buyer and was not a deterrent. As such,;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"199;GBE;...otlandspeople.gov.uk;themselves, in which case there will be no testament. Wills and Settlements are also found in the Register of Deeds (Books of Council and Session). It;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"200;GBE;arsenal.com;station is only five minutes walk down Barnet Hill to the ground. You can also reach New Barnet railway station via an' overground' train, which is around;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"201;GBE;ummah.com;go. # there is another place in solihull, Kings chinese takeaway and they also sell chips. Halal, new owners. # xfathimax # 02-08-10, 04:33 PM;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"202;GBE;...ponsiblevacation.com;vibrant shores. # Asia # All the way across from South America, Asia also offers some exotic beach vacation options. Goa is probably the best known beach town;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"204;GBE;...tingintelligence.com;although growing rapidly. # The' big boys' in the Champions League will also be making tens of millions there, and all clubs have match day income (;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"205;GBE;dailymail.co.uk;fish now too. I now am not afraid of my food source.. have also started grwoing veggies in summer and we are adding a greenhouse for winter tomatoes,;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"206;GBE;telegraph.co.uk;modules will be scrapped in favour of traditional end-of-year exams. More open-ended questions will also be introduced to stretch pupils further # It is believed that AS-levels -- sat at;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"207;GBE;tripadvisor.co.uk;If you wanted a sink you had to go to your bedroom. The bathrooms also contained nothing but 6 cabins. Only few of these cabins actually contained a shower;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"208;GBE;...eway.squarespace.com;taught on a range of courses for artists working in social contexts. Sandra is also a founder member of West Midlands Creative Alliance and also designs and mentors on a;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"209;GBE;onestopenglish.com;set time limit. Here the learners are speaking with an attainable objective, which also involves some input of their own opinion. Similar mingle exercises with information sharing can;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"21;GBE;patient.co.uk;some types of inhaler. They are commonly used by children, but many adults also use them. A spacer is like a small plastic chamber that attaches to the;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"210;GBE;...ighereducation.co.uk;at a quantum leap. However, the instancy and immediacy of the internet has also created an arena that seems only to foster obstreperousness and impatience. Until we,;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"211;GBE;...icalnovelsociety.org;used the weapons at their disposal: sex is one of those. But they also used acumen, intelligence, compromise, and ruthlessness as much as their male counterparts;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"212;GBE;...politicalbetting.com;that's not been seen in any poll since the general election # The poll also sees UKIP on 6% the highest level yet from the phone pollster. # We;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"213;GBE;...stheticamagazine.com;with this, it has a simple way of announcing an absence but it is also directing us to the idea of a process, something becoming unmade or undone,;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"214;GBE;occamstypewriter.org;they're all good) # PC Podcast and PCP2, by Pete Cogle who also does the Dub Zone and the Hip Hop Zone # *Pollyanna Cowgirl Records (it;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"216;GBE;....vitalfootball.co.uk;# Time as they say, is the great healer. It's also a great tool to be able to put things into perspective or have a a;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"217;GBE;telegraph.co.uk;controversial, because the Twitter API is revenue generating for Twitter. Technologically Twitter can also defend itself using the Robots Exclusion Protocol -- essentially a standard file which it places;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"22;GBE;oucs.ox.ac.uk;. # Senior (ie final year) undergraduates with a relevant academic background may also apply. Please note that undergradaute students are required to submit a copy of their;Auxillary ;Post-adjacent;Adjacent;;After_P;"
"220;GBE;...ictcumberbatch.co.uk;David Parfitt. You can buy tickets from the festival website. # Benedict is also currently featured in a number of polls that he needs your help to win!;OC;Pre-adjacent;Adjacent;be_also;After_P;"
"221;GBE;spectator.co.uk;untrue. He preferred the tradition of individual liberty and limited government, but he also accepted that there would be times when a society would have to act collectively towards;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
"223;GBE;ovum.com;""feared that it might only be a matter of time before more valuable advertising revenues also move away from the TV and onto the second screen. # """" However,"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;
224;GBE;thecgf.com;Federation, click here to view the CGF Constitution. # Yes. The CGF also supports the Commonwealth Youth Games and Single Sport Commonwealth Championships. It also encourages and;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;
225;GBE;...emiratesstadium.info;onto our line that we are bound to concede from a few. Our defence also hates to rush their clearances when sometimes a hoof that buys you a few seconds;O_Predicate;Pre-adjacent;Adjacent;;Between_SP;
226;GBE;badscience.net;where he's coming from his own perspective and with a quick google you can also find out what else he's written and what other people think of him.;Auxillary ;Post-adjacent;Adjacent;;After_P;
227;GBE;adamcooperf1.com;"", that would be a fantastic way to end the season. """" # Lewis also made an interesting comment on replacing Michael Schumacher next year. # """" I've"";O_Predicate;Pre-adjacent;Adjacent;;Between_SP;"
